"Date","Open","High","Low","Close"
"09 Apr 2020","183.55","187.05","179.95","185.75"
"08 Apr 2020","180.35","188.55","178.85","180.50"
"07 Apr 2020","178.05","183.95","177.10","183.00"
"03 Apr 2020","173.40","175.40","168.80","172.05"
"01 Apr 2020","175.55","177.60","170.85","172.10"
"31 Mar 2020","177.35","178.35","171.90","175.50"
"30 Mar 2020","181.25","182.20","170.05","171.60"
"27 Mar 2020","191.90","199.45","181.65","185.05"
"26 Mar 2020","177.75","189.70","173.00","185.80"
"25 Mar 2020","166.50","176.40","165.35","175.10"
"24 Mar 2020","175.55","181.60","166.15","170.65"
"23 Mar 2020","178.55","185.35","171.10","174.10"
"20 Mar 2020","191.45","198.65","183.20","196.40"
"19 Mar 2020","187.45","195.25","181.95","191.20"
"18 Mar 2020","215.30","215.90","195.70","197.75"
"17 Mar 2020","214.65","220.00","210.50","211.00"
"16 Mar 2020","223.75","225.00","214.65","216.15"
"13 Mar 2020","208.55","236.95","203.40","235.85"
"12 Mar 2020","243.50","244.85","227.45","230.30"
"11 Mar 2020","258.35","260.55","252.70","255.25"
"09 Mar 2020","263.05","264.05","256.65","260.00"
"06 Mar 2020","268.45","271.15","265.10","269.75"
"05 Mar 2020","283.60","284.85","275.45","277.85"
"04 Mar 2020","286.30","288.25","273.60","281.05"
"03 Mar 2020","280.85","287.10","280.00","284.15"
"02 Mar 2020","284.90","289.10","277.20","279.65"
"28 Feb 2020","282.75","284.10","275.80","280.55"
"27 Feb 2020","296.70","297.10","288.00","290.30"
"26 Feb 2020","300.70","302.00","295.05","297.50"
"25 Feb 2020","300.70","304.70","300.40","302.55"
"24 Feb 2020","304.15","305.80","298.70","299.75"
"20 Feb 2020","305.90","309.00","304.65","306.25"
"19 Feb 2020","306.10","308.45","301.90","306.20"
"18 Feb 2020","304.60","305.35","300.35","302.85"
"17 Feb 2020","311.95","312.50","304.15","305.70"
"14 Feb 2020","314.95","315.40","309.05","310.30"
"13 Feb 2020","315.75","316.70","311.80","313.80"
"12 Feb 2020","318.00","318.65","311.40","315.20"
"11 Feb 2020","318.90","320.90","316.25","317.80"
"10 Feb 2020","320.50","321.00","315.10","317.10"
"07 Feb 2020","325.80","326.80","319.45","320.30"
