"Date","Open","High","Low","Close"
"28 Jan 2021","34033.35","34146.65","33543.20","33625.85"
"27 Jan 2021","34316.45","34394.65","34096.20","34281.40"
"25 Jan 2021","34613.40","34647.50","33958.40","34178.60"
"22 Jan 2021","34537.30","34732.70","34318.00","34430.30"
"21 Jan 2021","34822.75","34974.05","34376.40","34494.40"
"20 Jan 2021","34667.00","34796.85","34555.55","34605.35"
"19 Jan 2021","34648.25","34808.10","34454.85","34659.85"
"18 Jan 2021","34735.70","34810.40","34248.20","34502.85"
"15 Jan 2021","34898.80","35000.35","34350.15","34630.05"
"14 Jan 2021","34669.10","34942.20","34616.00","34885.70"
"13 Jan 2021","34617.60","34945.30","34377.25","34617.60"
"12 Jan 2021","34754.70","34771.65","34401.65","34488.65"
"11 Jan 2021","34597.35","34919.60","34446.35","34681.25"
"08 Jan 2021","34282.45","34346.20","33994.20","34276.75"
"07 Jan 2021","34521.65","34543.00","33988.20","34032.35"
"06 Jan 2021","34748.10","34768.20","34091.45","34327.35"
"05 Jan 2021","34473.50","34788.35","34420.15","34720.25"
"04 Jan 2021","34535.25","34713.60","34385.50","34619.70"
"01 Jan 2021","34236.70","34435.20","34212.20","34391.85"
"31 Dec 2020","34255.10","34324.95","34109.50","34177.10"
"30 Dec 2020","34323.95","34362.70","34039.20","34313.70"
"29 Dec 2020","34313.70","34377.40","33982.35","34181.95"
"28 Dec 2020","34262.05","34369.40","34079.45","34181.10"
"24 Dec 2020","34191.20","34288.45","33769.35","34115.65"
"23 Dec 2020","33392.50","34040.95","33284.75","33966.00"
"22 Dec 2020","33195.70","33544.55","32633.75","33329.05"
"21 Dec 2020","34121.75","34121.75","32570.75","33151.10"
"18 Dec 2020","34090.05","34173.50","33878.20","34102.70"
"17 Dec 2020","34221.40","34234.80","33955.35","34013.55"
"16 Dec 2020","34058.25","34352.75","34037.30","34195.85"
"15 Dec 2020","34329.50","34360.80","33906.10","33967.90"
"14 Dec 2020","34505.35","34596.05","34334.60","34411.65"
"11 Dec 2020","34245.25","34427.70","33987.25","34364.85"
"10 Dec 2020","33161.40","34122.50","33002.00","34054.80"
"09 Dec 2020","33019.65","33182.35","32954.40","33125.50"
"08 Dec 2020","32969.40","33086.00","32572.25","32849.85"
"07 Dec 2020","32358.60","32907.45","32351.95","32866.90"
"04 Dec 2020","32044.05","32404.85","32016.50","32356.75"
"03 Dec 2020","32022.25","32027.65","31754.05","31908.65"
"02 Dec 2020","31811.15","31918.80","31591.85","31820.25"
