"Date","Open","High","Low","Close"
"09 Apr 2020","9485.00","9836.35","9424.70","9803.00"
"08 Apr 2020","9152.60","9814.30","9084.40","9243.45"
"07 Apr 2020","9072.45","9328.95","8802.00","9278.30"
"03 Apr 2020","8986.60","8989.50","8521.15","8562.10"
"01 Apr 2020","9293.90","9319.95","8889.25","8942.55"
"31 Mar 2020","9327.75","9439.95","9106.20","9317.30"
"30 Mar 2020","9408.00","9528.55","8993.60","9030.65"
"27 Mar 2020","10159.00","10428.60","9594.60","9754.30"
"26 Mar 2020","9366.95","10073.85","9174.25","9698.55"
"25 Mar 2020","8285.25","9247.85","8256.45","9203.30"
"24 Mar 2020","8623.00","8746.70","7984.20","8418.70"
"23 Mar 2020","8898.40","9210.20","8239.15","8298.50"
"20 Mar 2020","9539.95","10113.30","9175.80","9871.95"
"19 Mar 2020","9234.70","10081.60","8866.65","9598.35"
"18 Mar 2020","10709.45","10753.40","9711.40","9800.30"
"17 Mar 2020","11215.75","11248.00","10541.70","10613.60"
"16 Mar 2020","11589.65","11600.75","11069.60","11123.40"
"13 Mar 2020","10830.25","12332.00","10305.05","12101.60"
"12 Mar 2020","12037.50","12054.45","11293.70","11454.80"
"11 Mar 2020","12391.40","12692.70","12383.45","12560.45"
"09 Mar 2020","12765.75","12780.85","12272.10","12522.20"
"06 Mar 2020","13027.90","13174.60","12851.00","13082.50"
"05 Mar 2020","13499.00","13607.70","13394.30","13472.75"
"04 Mar 2020","13685.00","13695.70","13245.45","13439.50"
"03 Mar 2020","13595.55","13722.15","13478.05","13636.95"
"02 Mar 2020","13824.50","13875.85","13374.25","13520.00"
"28 Feb 2020","13778.35","13784.65","13520.35","13566.45"
"27 Feb 2020","14113.25","14113.25","13953.50","14086.05"
"26 Feb 2020","14156.75","14251.95","14072.45","14132.70"
"25 Feb 2020","14282.10","14312.85","14202.80","14236.10"
"24 Feb 2020","14398.30","14405.85","14215.00","14236.15"
"20 Feb 2020","14511.05","14569.95","14438.45","14510.40"
"19 Feb 2020","14456.65","14536.70","14374.10","14520.25"
"18 Feb 2020","14356.30","14367.35","14214.05","14315.70"
"17 Feb 2020","14491.00","14527.50","14350.20","14370.25"
"14 Feb 2020","14596.15","14672.80","14434.00","14477.45"
"13 Feb 2020","14698.10","14713.70","14539.40","14578.85"
"12 Feb 2020","14668.80","14747.70","14632.55","14685.40"
"11 Feb 2020","14564.10","14676.30","14562.50","14589.55"
"10 Feb 2020","14514.75","14520.85","14414.25","14496.75"
"07 Feb 2020","14551.70","14558.50","14466.40","14502.40"
"06 Feb 2020","14427.30","14596.65","14373.25","14545.75"
"05 Feb 2020","14245.40","14420.75","14178.30","14407.80"
"04 Feb 2020","13908.00","14241.60","13902.85","14218.80"
"03 Feb 2020","13719.65","13877.30","13647.60","13822.30"
"01 Feb 2020","14272.30","14378.65","13724.75","13758.85"
"31 Jan 2020","14389.20","14413.55","14270.25","14316.90"
"30 Jan 2020","14382.95","14388.35","14247.95","14289.95"
"29 Jan 2020","14340.85","14409.80","14308.00","14346.80"
"28 Jan 2020","14278.65","14394.35","14227.85","14273.10"
"27 Jan 2020","14355.15","14400.10","14213.05","14234.70"
"24 Jan 2020","14293.40","14450.70","14229.45","14420.40"
"23 Jan 2020","14196.85","14314.70","14145.80","14288.45"
"22 Jan 2020","14358.70","14396.20","14152.85","14178.50"
"21 Jan 2020","14308.25","14385.70","14248.30","14305.70"
"20 Jan 2020","14686.70","14686.70","14346.75","14359.65"
"17 Jan 2020","14582.50","14636.80","14541.30","14561.80"
"16 Jan 2020","14625.05","14697.90","14586.75","14655.35"
"15 Jan 2020","14637.55","14655.70","14528.30","14636.05"
"14 Jan 2020","14644.35","14685.80","14568.65","14667.20"
"13 Jan 2020","14630.90","14701.60","14604.00","14635.05"
"10 Jan 2020","14642.80","14693.70","14544.95","14609.65"
"09 Jan 2020","14461.15","14604.40","14427.25","14590.10"
"08 Jan 2020","14134.85","14321.40","14117.15","14306.65"
"07 Jan 2020","14346.55","14467.50","14226.00","14314.75"
"06 Jan 2020","14472.80","14493.15","14161.85","14202.50"
"03 Jan 2020","14644.60","14656.75","14510.85","14560.70"
"02 Jan 2020","14578.15","14707.60","14572.90","14697.50"
"01 Jan 2020","14590.10","14621.65","14543.40","14574.20"
"31 Dec 2019","14643.35","14643.35","14535.60","14557.40"
"30 Dec 2019","14719.00","14737.45","14599.25","14650.60"
"27 Dec 2019","14578.40","14696.40","14543.95","14679.35"
"26 Dec 2019","14609.45","14619.60","14506.45","14523.70"
"24 Dec 2019","14643.40","14661.80","14584.25","14603.70"
"23 Dec 2019","14635.25","14680.60","14570.90","14648.80"
"20 Dec 2019","14586.35","14634.80","14550.60","14625.80"
"19 Dec 2019","14626.85","14633.60","14552.10","14571.45"
"18 Dec 2019","14602.95","14634.40","14521.00","14618.95"
"17 Dec 2019","14441","14572.2","14410.45","14554.5"
"16 Dec 2019","14455.10","14466.60","14386.25","14417.60"
"13 Dec 2019","14344.50","14460.65","14334.30","14410.45"
"12 Dec 2019","14204.45","14302.85","14184.55","14292.90"
"11 Dec 2019","14088.05","14193.45","14053.05","14166.85"
"10 Dec 2019","14128.7","14150.55","14056.6","14071.6"
"09 Dec 2019","14047","14133.7","13985.8","14092.4"
"06 Dec 2019","14227.30","14258.05","13984.80","14041.85"
"05 Dec 2019","14265.5","14305.35","14156.9","14194.05"
"04 Dec 2019","14108.2","14265.5","14068.1","14246.55"
"03 Dec 2019","14181.2","14184.15","14070.2","14140.45"
"02 Dec 2019","14236.35","14237.90","14102.25","14163.05"
"29 Nov 2019","14276.10","14284.70","14133.70","14208.85"
"28 Nov 2019","14303.25","14330.10","14239.55","14287.00"
"27 Nov 2019","14248.20","14295.45","14202.80","14266.05"
"26 Nov 2019","14212.90","14252.90","14108.00","14207.45"
"25 Nov 2019","13946.55","14169.40","13940.70","14155.75"
"22 Nov 2019","14024.90","14026.35","13919.80","13952.10"
"21 Nov 2019","13995.45","14052.95","13928.55","14019.20"
"20 Nov 2019","14030.85","14058.35","13965.35","13982.20"
"19 Nov 2019","14007.15","14052.95","13956.65","14008.90"
"18 Nov 2019","14025.35","14075.65","13955.45","14002.70"
"15 Nov 2019","13995.45","14094.55","13969.25","14021.00"
"14 Nov 2019","13852.05","13965.65","13751.25","13947.35"
"13 Nov 2019","13955.45","13996.20","13785.30","13806.40"
"11 Nov 2019","13838.75","13998.60","13822.50","13969.10"
"08 Nov 2019","13880.40","14008.80","13825.60","13868.65"
"07 Nov 2019","13908.60","13936.40","13828.00","13894.90"
"06 Nov 2019","13684.25","13860.70","13571.35","13828.45"
"05 Nov 2019","13730.30","13748.35","13613.65","13669.40"
"04 Nov 2019","13649.45","13705.90","13570.05","13671.10"
"01 Nov 2019","13562.75","13628.6","13512.3","13585.3"
"31 Oct 2019","13617.05","13650.50","13489.00","13516.45"
"30 Oct 2019","13581.50","13619.40","13500.55","13539.80"
"29 Oct 2019","13389.95","13555.25","13351.35","13516.35"
"27 Oct 2019","13429.95","13447.40","13369.25","13395.40"
"25 Oct 2019","13382.10","13401.65","13186.75","13346.80"
"24 Oct 2019","13461.55","13506.40","13287.90","13334.30"
"23 Oct 2019","13399.05","13465.45","13296.30","13398.65"
"22 Oct 2019","13350.30","13477.45","13287.70","13344.45"
"18 Oct 2019","13143.10","13233.50","13100.40","13213.45"
"17 Oct 2019","13012.50","13169.80","12977.85","13144.75"
"16 Oct 2019","12961.05","13018.75","12883.45","12978.40"
"15 Oct 2019","12821.55","12963.75","12806.10","12904.60"
"14 Oct 2019","12842.15","12944.75","12738.35","12791.20"
"11 Oct 2019","12814.60","12956.85","12643.05","12769.35"
"10 Oct 2019","12884.20","12890.45","12672.45","12721.80"
"09 Oct 2019","12652.00","12992.40","12589.95","12970.45"
"07 Oct 2019","12648.50","12773.05","12535.00","12589.15"
"04 Oct 2019","12945.70","12972.25","12565.90","12593.25"
"03 Oct 2019","12943.15","12985.95","12786.70","12847.75"
"01 Oct 2019","13068.60","13184.35","12771.15","12995.50"
"30 Sep 2019","13206.10","13232.35","12962.50","13017.30"
"27 Sep 2019","13286.40","13382.00","13220.20","13282.65"
"26 Sep 2019","13164.05","13527.25","13159.85","13288.25"
"25 Sep 2019","13352.40","13360.85","13082.65","13141.30"
"24 Sep 2019","13515.90","13616.60","13287.30","13398.35"
"23 Sep 2019","13278.05","13657","13180.85","13560.25"
"20 Sep 2019","12061.15","12998.95","11989.7","12859.85"
"19 Sep 2019","12120.25","12120.25","11943.10","12001.25"
"18 Sep 2019","12190.95","12231.80","12086.10","12116.20"
"17 Sep 2019","12361.35","12376.60","12073.45","12111.05"
"16 Sep 2019","12436.80","12478.35","12379.50","12397.70"
"13 Sep 2019","12405.60","12523.00","12340.70","12513.00"
"12 Sep 2019","12425.85","12534.40","12401.05","12422.25"
"11 Sep 2019","12389.40","12414.60","12332.90","12382.10"
"09 Sep 2019","12243.15","12379.70","12148.10","12341.90"
"06 Sep 2019","12153.45","12268.60","12129.40","12235.90"
"05 Sep 2019","12249.55","12272.75","12098.00","12122.75"
"04 Sep 2019","12125.70","12326.15","12064.45","12260.35"
"03 Sep 2019","12323.80","12332.70","12100.95","12134.95"
"30 Aug 2019","12383.10","12448.80","12300.00","12418.15"
"29 Aug 2019","12523.35","12523.75","12311.25","12341.10"
"28 Aug 2019","12633.35","12640.65","12504.10","12575.25"
"27 Aug 2019","12623.95","12692.00","12560.65","12646.35"
"26 Aug 2019","12369.60","12584.65","12118.25","12563.65"
"23 Aug 2019","11962.75","12160.15","11831.15","12080.30"
"22 Aug 2019","12341.90","12343.25","12020.60","12049.90"
"21 Aug 2019","12466.40","12509.35","12339.45","12356.45"
"20 Aug 2019","12522.35","12548.15","12391.20","12450.40"
"19 Aug 2019","12605.45","12663.65","12518.15","12532.40"
"16 Aug 2019","12521.20","12579.70","12389.35","12543.70"
"14 Aug 2019","12478.65","12569.10","12411.15","12509.60"
"13 Aug 2019","12729.25","12737.40","12373.75","12394.00"
"09 Aug 2019","12649.00","12852.95","12631.90","12774.85"
"08 Aug 2019","12479.95","12614.75","12359.15","12581.20"
"07 Aug 2019","12529.85","12567.60","12386.20","12411.65"
"06 Aug 2019","12275.80","12592.70","12269.70","12521.35"
"05 Aug 2019","12361.70","12367.10","12219.40","12329.55"
"02 Aug 2019","12420.55","12631.30","12293.25","12500.50"
"01 Aug 2019","12637.50","12673.40","12376.40","12494.10"
"31 Jul 2019","12629.15","12746.45","12583.95","12707.3"
"30 Jul 2019","12872.50","12916.05","12673.30","12714.10"
"29 Jul 2019","12950.65","12957.30","12736.70","12827.25"
"26 Jul 2019","12802.65","12912.25","12762.50","12880.05"
"25 Jul 2019","12808.55","12929.95","12759.20","12805.20"
"24 Jul 2019","12790.90","12890.55","12727.50","12785.65"
"23 Jul 2019","12909.45","12916.40","12771.10","12804.00"
"22 Jul 2019","13158.75","13174.75","12851.80","12897.00"
"19 Jul 2019","13513.20","13533.80","13202.60","13234.40"
"18 Jul 2019","13492.95","13568.65","13479.20","13500.20"
"17 Jul 2019","13425.10","13515.50","13418.85","13485.30"
"16 Jul 2019","13398.25","13451.25","13355.30","13422.95"
"15 Jul 2019","13386.85","13386.85","13285.50","13362.95"
"12 Jul 2019","13443.40","13473.05","13345.25","13365.95"
"11 Jul 2019","13388.80","13434.50","13316.15","13404.95"
"10 Jul 2019","13375.80","13436.10","13293.95","13314.35"
"09 Jul 2019","13357.05","13419.75","13220.40","13368.80"
"08 Jul 2019","13764.35","13768.80","13347.40","13398.45"
"05 Jul 2019","13821.70","13881.35","13750.90","13798.60"
"04 Jul 2019","13792.15","13840.00","13769.05","13804.00"
"03 Jul 2019","13758.20","13800.20","13702.30","13764.10"
"02 Jul 2019","13720.35","13752.00","13615.95","13742.75"
"01 Jul 2019","13616.30","13717.45","13604.25","13695.70"
"28 Jun 2019","13599.00","13639.00","13528.00","13556.40"
"27 Jun 2019","13541.65","13660.80","13533.15","13595.25"
"26 Jun 2019","13393.55","13558.10","13377.25","13531.75"
"25 Jun 2019","13298.15","13441.45","13250.05","13419.65"
"24 Jun 2019","13316.85","13377.95","13264.35","13308.80"
"21 Jun 2019","13442.95","13444.90","13295.40","13323.30"
"20 Jun 2019","13280.05","13449.50","13224.20","13437.95"
"19 Jun 2019","13297.50","13385.40","13202.60","13274.60"
"18 Jun 2019","13228.40","13295.85","13166.15","13229.85"
"17 Jun 2019","13381.80","13381.85","13202.00","13215.55"
"14 Jun 2019","13493.35","13518.70","13329.25","13369.10"
"13 Jun 2019","13358.65","13503.95","13312.10","13482.05"
"12 Jun 2019","13471.15","13471.20","13327.40","13362.55"
"11 Jun 2019","13492.30","13538.20","13387.75","13488.70"
"10 Jun 2019","13540.50","13571.35","13381.80","13447.80"
"07 Jun 2019","13383.15","13496.65","13269.80","13466.85"
"06 Jun 2019","13598.50","13610.10","13324.95","13345.70"
"04 Jun 2019","13586.30","13664.75","13575.65","13610.20"
"03 Jun 2019","13514.70","13650.15","13486.60","13636.10"
"31 May 2019","13567.30","13623.60","13200.60","13479.80"
"30 May 2019","13349.85","13528.50","13335.05","13515.95"
"29 May 2019","13404.90","13448.15","13334.55","13361.55"
"28 May 2019","13523.15","13523.15","13336.15","13447.20"
"27 May 2019","13323.10","13520.75","13293.95","13498.20"
"24 May 2019","13128.25","13330.25","13062.85","13304.35"
"23 May 2019","13332.60","13581.70","12980.70","13028.35"
"22 May 2019","13132.30","13224.70","13079.15","13156.00"
"21 May 2019","13271.55","13348.45","13056.15","13084.75"
"20 May 2019","12953.20","13263.10","12919.15","13222.45"
"17 May 2019","12334.10","12676.45","12324.65","12640.80"
"16 May 2019","12223.45","12362.25","12174.50","12325.55"
"15 May 2019","12282.40","12315.50","12186.70","12209.30"
"14 May 2019","12204.15","12335.60","12125.80","12225.90"
"13 May 2019","12242.80","12307.10","12155.45","12179.95"
"10 May 2019","12185.55","12324.90","12181.50","12248.00"
"09 May 2019","12176.55","12242.20","12121.45","12174.25"
"08 May 2019","12345.20","12345.20","12201.15","12216.15"
"07 May 2019","12525.85","12568.75","12345.35","12363.65"
"06 May 2019","12499.55","12539.55","12444.55","12477.40"
"03 May 2019","12604.95","12712.40","12602.85","12637.00"
"02 May 2019","12542.20","12637.05","12517.80","12583.80"
"30 Apr 2019","12513.55","12572.15","12446.30","12555.45"
"26 Apr 2019","12408.25","12519.60","12328.05","12506.10"
"25 Apr 2019","12491.80","12536.80","12322.15","12344.70"
"24 Apr 2019","12321.90","12485.40","12292.45","12466.85"
"23 Apr 2019","12376.75","12425.55","12286.30","12295.45"
"22 Apr 2019","12591.80","12598.45","12339.05","12347.05"
"18 Apr 2019","12723.85","12726.55","12542.20","12567.30"
"16 Apr 2019","12584.05","12688.70","12580.25","12663.30"
"15 Apr 2019","12526.45","12556.15","12492.90","12535.30"
"12 Apr 2019","12450.40","12519.45","12419.60","12495.60"
"11 Apr 2019","12442.25","12467.10","12399.85","12450.00"
"10 Apr 2019","12496.95","12569.60","12410.10","12426.65"
"09 Apr 2019","12522.95","12587.55","12418.20","12568.10"
"08 Apr 2019","12635.35","12642.90","12439.05","12504.05"
"05 Apr 2019","12532.00","12628.80","12513.10","12594.95"
"04 Apr 2019","12528.55","12614.90","12458.00","12499.70"
"03 Apr 2019","12569.60","12652.00","12486.90","12506.80"
"02 Apr 2019","12547.20","12575.70","12456.50","12538.60"
"01 Apr 2019","12575.10","12603.30","12453.80","12499.65"
"29 Mar 2019","12510.35","12552.75","12418.45","12544.15"
"28 Mar 2019","12308.15","12489.90","12293.15","12474.35"
"27 Mar 2019","12377.70","12419.65","12228.60","12302.85"
"26 Mar 2019","12155.90","12344.80","12142.05","12323.45"
"25 Mar 2019","12175.80","12175.80","12086.90","12136.10"
"22 Mar 2019","12386.45","12423.05","12239.90","12261.60"
"20 Mar 2019","12324.70","12384.80","12279.20","12351.05"
"19 Mar 2019","12312.60","12331.80","12259.25","12314.85"
"18 Mar 2019","12265.15","12372.30","12196.80","12269.95"
"15 Mar 2019","12057.85","12272.05","12052.85","12206.40"
"14 Mar 2019","12102.25","12116.75","11992.65","12027.30"
"13 Mar 2019","11915.55","12054.00","11855.75","12034.15"
"12 Mar 2019","11807.00","11909.65","11793.60","11895.45"
"11 Mar 2019","11649.35","11737.20","11637.25","11721.05"
"08 Mar 2019","11582.85","11626.85","11563.35","11619.60"
"07 Mar 2019","11603.20","11634.80","11533.20","11613.80"
"06 Mar 2019","11541.55","11595.00","11509.30","11581.20"
"05 Mar 2019","11313.50","11507.20","11259.25","11500.55"
"01 Mar 2019","11284.85","11330.15","11266.30","11308.15"
"28 Feb 2019","11271.05","11285.10","11215.50","11227.40"
"27 Feb 2019","11352.10","11398.05","11188.20","11234.10"
"26 Feb 2019","11278.80","11362.00","11231.95","11294.85"
"25 Feb 2019","11353.90","11416.90","11330.45","11406.70"
"22 Feb 2019","11362.15","11372.70","11309.50","11319.75"
"21 Feb 2019","11299.65","11401.65","11291.25","11386.80"
"20 Feb 2019","11207.95","11299.35","11187.75","11287.70"
"19 Feb 2019","11144.55","11285.45","11136.40","11158.10"
