"Date","Open","High","Low","Close"
"09 Apr 2020","1086.85","1114.65","1077.70","1105.45"
"08 Apr 2020","1033.15","1096.90","1026.20","1064.25"
"07 Apr 2020","1024.25","1050.05","1000.05","1045.50"
"03 Apr 2020","1011.30","1015.70","972.95","987.20"
"01 Apr 2020","1045.10","1047.20","995.15","1001.25"
"31 Mar 2020","1040.95","1047.20","1023.20","1039.95"
"30 Mar 2020","1030.70","1057.50","1015.60","1021.85"
"27 Mar 2020","1086.20","1120.05","1049.55","1055.40"
"26 Mar 2020","1065.70","1114.05","1048.30","1067.50"
"25 Mar 2020","1013.25","1066.85","989.85","1055.45"
"24 Mar 2020","1030.35","1050.50","979.05","1031.70"
"23 Mar 2020","1038.45","1088.00","1001.35","1015.40"
"20 Mar 2020","1087.90","1146.60","1087.90","1128.95"
"19 Mar 2020","1072.70","1122.15","1058.60","1086.90"
"18 Mar 2020","1156.15","1182.85","1103.05","1141.00"
"17 Mar 2020","1201.35","1218.75","1146.90","1153.15"
"16 Mar 2020","1214.45","1263.90","1167.15","1226.05"
"13 Mar 2020","1184.45","1326.65","1139.25","1282.35"
"12 Mar 2020","1358.05","1383.85","1296.95","1304.15"
"11 Mar 2020","1415.25","1463.05","1405.70","1454.30"
"09 Mar 2020","1490.10","1493.70","1402.80","1425.60"
"06 Mar 2020","1538.25","1547.70","1518.20","1527.15"
"05 Mar 2020","1628.45","1640.05","1578.75","1606.30"
"04 Mar 2020","1649.40","1652.20","1577.35","1617.65"
"03 Mar 2020","1611.05","1661.60","1604.65","1647.65"
"02 Mar 2020","1700.25","1725.15","1580.30","1594.70"
"28 Feb 2020","1714.50","1721.50","1662.30","1670.70"
"27 Feb 2020","1807.85","1810.40","1750.75","1760.55"
"26 Feb 2020","1805.10","1818.20","1791.35","1803.90"
"25 Feb 2020","1836.80","1859.00","1811.55","1817.25"
"24 Feb 2020","1862.55","1863.10","1825.35","1829.60"
"20 Feb 2020","1882.95","1906.10","1866.75","1871.70"
"19 Feb 2020","1857.50","1887.85","1854.05","1882.00"
"18 Feb 2020","1840.20","1851.15","1820.55","1845.90"
"17 Feb 2020","1836.45","1840.80","1797.80","1812.25"
"14 Feb 2020","1843.75","1850.15","1824.65","1832.50"
"13 Feb 2020","1830.95","1841.05","1817.75","1834.85"
"12 Feb 2020","1836.65","1845.15","1817.35","1824.20"
"11 Feb 2020","1809.25","1843.55","1799.40","1827.45"
