"Date","Open","High","Low","Close"
"09 Apr 2020","12397.65","12581.40","12374.80","12553.50"
"08 Apr 2020","11893.40","12510.30","11799.20","12143.55"
"07 Apr 2020","11729.30","11947.50","11565.35","11929.55"
"03 Apr 2020","11528.80","11536.45","11282.35","11316.75"
"01 Apr 2020","11715.15","11746.60","11370.45","11470.95"
"31 Mar 2020","11690.50","11742.20","11451.65","11703.75"
"30 Mar 2020","11499.95","11613.70","11329.70","11446.15"
"27 Mar 2020","12207.80","12355.55","11604.90","11763.35"
"26 Mar 2020","11592.20","12056.30","11431.75","11838.55"
"25 Mar 2020","10890.85","11503.90","10886.50","11481.60"
"24 Mar 2020","11292.25","11408.30","10749.95","11110.40"
"23 Mar 2020","11577.75","11876.10","10965.40","10990.80"
"20 Mar 2020","12146.15","12759.05","11999.75","12661.25"
"19 Mar 2020","11963.65","12375.65","11597.60","12064.55"
"18 Mar 2020","13483.20","13559.35","12459.65","12595.10"
"17 Mar 2020","13720.45","13894.05","13313.55","13349.65"
"16 Mar 2020","14051.40","14179.40","13658.85","13695.30"
"13 Mar 2020","12932.60","14692.80","12715.00","14608.10"
"12 Mar 2020","14839.35","14880.45","14105.45","14243.05"
"11 Mar 2020","15574.85","15836.25","15439.90","15494.85"
"09 Mar 2020","15990.95","16031.75","15433.30","15633.45"
"06 Mar 2020","16157.85","16401.65","15970.70","16375.15"
"05 Mar 2020","16839.50","16908.30","16627.85","16769.90"
"04 Mar 2020","17035.25","17083.85","16490.40","16746.45"
"03 Mar 2020","16821.20","17066.10","16717.30","17004.35"
"02 Mar 2020","17009.40","17174.90","16573.60","16671.75"
"28 Feb 2020","16983.10","16998.05","16660.55","16786.35"
"27 Feb 2020","17520.15","17520.15","17223.30","17369.50"
"26 Feb 2020","17627.65","17687.85","17460.70","17512.45"
"25 Feb 2020","17806.80","17919.25","17669.65","17699.90"
"24 Feb 2020","18019.60","18035.40","17742.00","17764.10"
"20 Feb 2020","18015.65","18213.80","17987.50","18109.85"
"19 Feb 2020","17842.60","18004.35","17820.10","17990.10"
"18 Feb 2020","17794.75","17799.20","17560.75","17725.60"
"17 Feb 2020","18014.75","18022.95","17791.65","17824.90"
"14 Feb 2020","18174.25","18224.90","17952.70","17978.80"
"13 Feb 2020","18190.25","18195.50","18058.95","18125.00"
"12 Feb 2020","18248.60","18273.75","18126.05","18169.35"
"11 Feb 2020","18268.30","18332.75","18182.20","18206.20"
"10 Feb 2020","18394.60","18394.60","18155.60","18191.20"
"07 Feb 2020","18283.90","18385.00","18235.00","18367.50"
"06 Feb 2020","18184.40","18296.75","18091.60","18246.20"
"05 Feb 2020","17981.20","18191.60","17973.35","18115.70"
"04 Feb 2020","17776.65","17948.40","17768.65","17910.10"
"03 Feb 2020","17478.60","17786.40","17404.30","17708.35"
"01 Feb 2020","17968.25","18132.55","17474.65","17520.55"
"31 Jan 2020","18192.80","18215.25","17994.70","18010.20"
"30 Jan 2020","18304.45","18312.10","18081.95","18128.40"
"29 Jan 2020","18346.90","18414.30","18241.75","18273.10"
"28 Jan 2020","18308.75","18373.90","18176.00","18232.40"
"27 Jan 2020","18307.70","18495.90","18261.40","18291.35"
"24 Jan 2020","18210.85","18401.55","18160.60","18357.20"
"23 Jan 2020","17953.30","18235.65","17946.45","18190.00"
"22 Jan 2020","18045.10","18047.80","17898.90","17931.00"
"21 Jan 2020","17906.80","18025.85","17890.60","17952.05"
"20 Jan 2020","18132.55","18136.70","17954.00","17972.75"
"17 Jan 2020","17989.70","18113.30","17948.70","18073.90"
"16 Jan 2020","17892.15","18000.05","17888.65","17985.10"
"15 Jan 2020","17655.75","17852.55","17623.65","17836.10"
"14 Jan 2020","17562.40","17663.05","17532.35","17651.65"
"13 Jan 2020","17459.90","17543.80","17455.95","17527.50"
"10 Jan 2020","17376.15","17496.60","17355.80","17386.35"
"09 Jan 2020","17233.05","17349.90","17228.15","17319.65"
"08 Jan 2020","16869.40","17089.20","16821.85","17074.30"
"07 Jan 2020","17015.75","17159.65","16928.30","17021.55"
