"Date","Open","High","Low","Close"
"09 Apr 2020","1282.30","1316.55","1270.60","1302.35"
"08 Apr 2020","1250.40","1325.15","1238.30","1261.25"
"07 Apr 2020","1275.60","1278.55","1238.10","1261.85"
"03 Apr 2020","1285.00","1288.90","1228.80","1232.30"
"01 Apr 2020","1328.00","1331.20","1273.95","1283.10"
"31 Mar 2020","1330.15","1340.10","1294.85","1324.85"
"30 Mar 2020","1314.20","1329.30","1284.75","1295.45"
"27 Mar 2020","1387.55","1449.05","1333.65","1339.65"
"26 Mar 2020","1342.10","1398.90","1305.00","1335.15"
"25 Mar 2020","1271.30","1361.10","1254.85","1327.55"
"24 Mar 2020","1326.60","1342.80","1243.70","1305.35"
"23 Mar 2020","1349.85","1379.10","1270.95","1277.75"
"20 Mar 2020","1452.60","1514.05","1434.75","1463.45"
"19 Mar 2020","1404.95","1538.10","1382.55","1438.85"
"18 Mar 2020","1516.25","1527.40","1419.35","1480.50"
"17 Mar 2020","1513.75","1564.65","1474.05","1490.35"
"16 Mar 2020","1499.30","1524.60","1468.35","1497.40"
"13 Mar 2020","1303.05","1591.35","1218.30","1573.25"
"12 Mar 2020","1529.80","1534.90","1411.65","1420.65"
"11 Mar 2020","1690.45","1720.00","1621.40","1635.95"
"09 Mar 2020","1735.90","1745.50","1676.65","1688.35"
"06 Mar 2020","1774.95","1818.75","1738.55","1794.80"
"05 Mar 2020","1880.70","1936.00","1810.45","1891.90"
"04 Mar 2020","1889.70","1897.40","1816.80","1865.90"
"03 Mar 2020","1878.05","1899.55","1845.10","1881.20"
"02 Mar 2020","1989.00","1996.50","1839.95","1857.60"
"28 Feb 2020","1985.65","1992.40","1939.30","1945.60"
"27 Feb 2020","2095.00","2099.00","2039.05","2049.10"
"26 Feb 2020","2095.60","2117.90","2084.45","2096.60"
"25 Feb 2020","2121.40","2127.25","2094.45","2109.60"
"24 Feb 2020","2143.90","2158.15","2104.00","2109.20"
"20 Feb 2020","2140.00","2188.90","2134.55","2168.95"
"19 Feb 2020","2148.90","2164.55","2122.05","2147.55"
"18 Feb 2020","2145.50","2145.85","2074.55","2128.20"
"17 Feb 2020","2207.70","2213.60","2141.60","2145.65"
"14 Feb 2020","2261.15","2280.45","2205.15","2211.20"
"13 Feb 2020","2257.00","2282.40","2251.45","2256.30"
"12 Feb 2020","2312.00","2312.00","2243.45","2249.25"
"11 Feb 2020","2310.35","2321.55","2285.70","2293.40"
"10 Feb 2020","2311.70","2318.65","2272.55","2290.45"
"07 Feb 2020","2317.55","2339.15","2293.50","2313.20"
"06 Feb 2020","2261.10","2343.25","2254.15","2316.05"
"05 Feb 2020","2244.60","2263.35","2235.85","2252.40"
"04 Feb 2020","2246.30","2270.45","2226.65","2241.15"
"03 Feb 2020","2273.35","2286.65","2215.65","2221.85"
"01 Feb 2020","2365.95","2388.20","2261.90","2277.95"
"31 Jan 2020","2363.85","2388.80","2333.95","2366.05"
"30 Jan 2020","2378.90","2378.90","2330.70","2346.75"
"29 Jan 2020","2391.40","2398.95","2373.85","2378.15"
"28 Jan 2020","2400.00","2409.40","2354.70","2370.65"
"27 Jan 2020","2417.50","2425.45","2387.65","2391.25"
"24 Jan 2020","2443.50","2467.20","2435.00","2446.30"
"23 Jan 2020","2410.05","2455.55","2405.00","2437.90"
"22 Jan 2020","2431.35","2435.10","2397.55","2410.00"
"21 Jan 2020","2411.60","2437.85","2404.80","2412.80"
"20 Jan 2020","2469.20","2470.00","2408.00","2414.90"
"17 Jan 2020","2427.20","2478.65","2417.45","2451.85"
"16 Jan 2020","2465.25","2483.85","2453.20","2465.80"
"15 Jan 2020","2459.80","2467.05","2428.60","2463.30"
"14 Jan 2020","2467.75","2484.35","2451.30","2462.35"
"13 Jan 2020","2472.85","2483.15","2457.65","2468.70"
"10 Jan 2020","2468.05","2502.65","2450.45","2461.40"
"09 Jan 2020","2452.50","2472.70","2437.90","2459.85"
"08 Jan 2020","2371.70","2412.65","2356.60","2401.85"
"07 Jan 2020","2452.90","2471.50","2390.65","2416.65"
"06 Jan 2020","2512.35","2512.35","2404.70","2414.65"
"03 Jan 2020","2568.15","2568.15","2511.40","2524.30"
"02 Jan 2020","2530.10","2582.70","2522.25","2576.70"
"01 Jan 2020","2531.40","2540.20","2514.20","2526.40"
"31 Dec 2019","2534.60","2546.10","2520.40","2524.35"
"30 Dec 2019","2569.95","2570.80","2522.30","2537.20"
"27 Dec 2019","2521.10","2582.40","2520.00","2568.45"
"26 Dec 2019","2538.65","2539.10","2493.45","2495.60"
"24 Dec 2019","2543.45","2554.10","2525.45","2532.45"
"23 Dec 2019","2560.55","2580.75","2520.55","2536.40"
"20 Dec 2019","2526.95","2587.20","2526.85","2570.90"
"19 Dec 2019","2510.15","2527.85","2493.15","2513.70"
"18 Dec 2019","2567.70","2569.40","2499.30","2512.85"
"17 Dec 2019","2565.55","2596.1","2558.95","2567.4"
"16 Dec 2019","2583.95","2589.50","2546.20","2555.25"
"13 Dec 2019","2490.15","2576.95","2488.95","2570.70"
"12 Dec 2019","2431.35","2480.85","2427.80","2471.20"
