"Date","Open","High","Low","Close"
"28 Jan 2021","16260.00","16614.10","16215.95","16553.00"
"27 Jan 2021","17069.70","17087.30","16469.05","16524.35"
"25 Jan 2021","17266.65","17331.15","16951.95","17043.90"
"22 Jan 2021","17560.25","17584.65","17039.80","17063.75"
"21 Jan 2021","17918.00","18004.45","17522.95","17622.25"
"20 Jan 2021","17734.75","17853.35","17684.45","17799.65"
"19 Jan 2021","17546.50","17771.25","17426.95","17752.85"
"18 Jan 2021","17650.85","17701.00","17318.10","17401.35"
"15 Jan 2021","17785.20","17796.80","17534.15","17641.65"
"14 Jan 2021","17782.25","17912.65","17742.45","17782.10"
"13 Jan 2021","17885.20","17927.75","17631.45","17803.30"
"12 Jan 2021","17609.80","17868.05","17539.45","17784.05"
"11 Jan 2021","17859.10","17863.55","17615.80","17699.35"
"08 Jan 2021","17872.45","17872.45","17717.55","17756.05"
"07 Jan 2021","17738.25","17781.45","17634.70","17677.75"
"06 Jan 2021","17579.00","17649.05","17405.10","17547.05"
"05 Jan 2021","17094.25","17538.25","17027.75","17513.80"
"04 Jan 2021","17338.60","17338.60","17022.65","17181.65"
"01 Jan 2021","17268.75","17314.20","17177.55","17196.50"
"31 Dec 2020","17275.70","17328.60","17158.85","17251.75"
"30 Dec 2020","17379.25","17395.75","17112.25","17263.70"
"29 Dec 2020","17096.55","17310.25","17095.15","17288.20"
"28 Dec 2020","16862.15","17057.80","16855.25","17023.55"
"24 Dec 2020","16620.40","16858.40","16581.35","16777.80"
"23 Dec 2020","16333.95","16550.05","16265.80","16515.20"
"22 Dec 2020","16348.45","16408.00","15990.45","16358.45"
"21 Dec 2020","16906.95","16914.45","16119.10","16265.15"
"18 Dec 2020","17088.50","17095.35","16794.50","16961.70"
"17 Dec 2020","17040.60","17141.75","16964.85","17087.90"
"16 Dec 2020","17110.80","17117.95","16939.50","16999.60"
"15 Dec 2020","17023.50","17023.95","16777.45","16982.10"
"14 Dec 2020","16978.40","17043.85","16927.05","16986.80"
"11 Dec 2020","16884.15","17012.60","16741.25","16907.20"
"10 Dec 2020","16875.70","16928.60","16689.85","16854.00"
"09 Dec 2020","16737.10","17008.15","16728.30","16962.00"
"08 Dec 2020","16770.60","16780.90","16603.05","16685.70"
"07 Dec 2020","16661.35","16808.95","16603.50","16722.90"
"04 Dec 2020","16397.55","16711.65","16346.95","16648.10"
"03 Dec 2020","16537.05","16549.35","16283.05","16321.60"
"02 Dec 2020","16640.50","16645.75","16227.75","16402.55"
"01 Dec 2020","16615.05","16648.40","16414.95","16597.25"
"27 Nov 2020","16440.75","16515.45","16329.30","16473.10"
"26 Nov 2020","16331.55","16433.60","16060.55","16390.40"
"25 Nov 2020","16709.10","16793.85","16198.05","16232.90"
"24 Nov 2020","16298.45","16592.35","16263.00","16542.95"
"23 Nov 2020","16353.40","16391.60","16063.20","16166.85"
"20 Nov 2020","16086.10","16312.25","15872.85","16216.45"
"19 Nov 2020","16270.70","16449.00","16027.90","16081.05"
"18 Nov 2020","16159.80","16532.15","16132.20","16513.20"
"17 Nov 2020","16027.20","16225.55","15957.85","16195.80"
"14 Nov 2020","15964.15","16010.15","15827.70","15920.55"
"13 Nov 2020","15627.30","15885.50","15407.75","15846.50"
"12 Nov 2020","15908.90","15922.75","15596.55","15727.85"
"11 Nov 2020","16007.10","16126.25","15660.35","16018.75"
"10 Nov 2020","15639.65","16071.80","15554.85","15946.85"
"09 Nov 2020","15037.60","15398.80","15027.70","15371.20"
"06 Nov 2020","14550.95","14915.75","14467.30","14882.70"
"05 Nov 2020","14486.45","14597.45","14377.55","14574.35"
"04 Nov 2020","14168.75","14361.50","13951.70","14303.60"
"03 Nov 2020","13932.50","14286.20","13922.70","14246.20"
"02 Nov 2020","13515.70","13965.15","13398.95","13820.25"
"30 Oct 2020","13373.55","13470.45","13102.90","13258.00"
"29 Oct 2020","13357.00","13504.85","13226.55","13378.65"
"28 Oct 2020","13736.30","13772.85","13363.40","13454.70"
"27 Oct 2020","13456.10","13777.85","13250.45","13755.95"
"26 Oct 2020","13576.45","13604.80","13226.50","13338.80"
"23 Oct 2020","13641.20","13685.55","13466.25","13529.85"
"22 Oct 2020","13524.00","13660.10","13407.95","13534.60"
"21 Oct 2020","13530.80","13752.20","13338.40","13630.60"
"20 Oct 2020","13358.20","13505.85","13302.95","13461.55"
"19 Oct 2020","13232.25","13469.95","13148.65","13434.35"
"16 Oct 2020","12842.75","13083.30","12816.30","13023.20"
"15 Oct 2020","13218.4","13316.75","12701.5","12761.00"
"14 Oct 2020","12923.45","13246.30","12807.70","13198.70"
"13 Oct 2020","13094.95","13149.10","12968.95","13006.55"
"12 Oct 2020","13273.50","13382.90","13041.20","13131.60"
"09 Oct 2020","12942.10","13240.65","12849.55","13211.20"
"08 Oct 2020","12857.75","13012.05","12801.85","12876.10"
"07 Oct 2020","12665.75","12786.00","12531.45","12753.30"
"06 Oct 2020","12569.00","12706.45","12486.05","12683.55"
"05 Oct 2020","12357.25","12626.95","12327.95","12399.75"
"01 Oct 2020","11955.90","12329.70","11939.25","12302.20"
"30 Sep 2020","11797.25","11870.35","11643.60","11816.65"
"29 Sep 2020","12008.15","12029.85","11733.20","11799.35"
"28 Sep 2020","11638.95","11977.50","11585.40","11951.10"
"25 Sep 2020","11403.40","11586.75","11230.00","11540.95"
"24 Sep 2020","11504.30","11537.45","11219.00","11247.30"
"23 Sep 2020","11752.60","11761.65","11456.90","11658.85"
"22 Sep 2020","11837.20","11852.45","11540.25","11634.40"
"21 Sep 2020","12173.60","12230.05","11743.95","11797.30"
"18 Sep 2020","12426.25","12439.20","12067.30","12207.95"
"17 Sep 2020","12357.50","12457.40","12322.45","12354.65"
"16 Sep 2020","12449.00","12537.40","12289.55","12485.25"
"15 Sep 2020","12256.50","12465.70","12174.55","12431.90"
"14 Sep 2020","12480.50","12540.25","12163.05","12205.50"
"11 Sep 2020","12409.65","12495.40","12242.45","12372.40"
"10 Sep 2020","12378.95","12500.95","12251.00","12392.20"
"09 Sep 2020","12354.60","12400.25","12169.85","12271.00"
"08 Sep 2020","12622.35","12674.45","12439.20","12495.20"
"07 Sep 2020","12681.05","12709.85","12484.20","12608.15"
"04 Sep 2020","12697.15","12884.45","12576.15","12671.40"
"03 Sep 2020","13191.05","13226.05","12903.15","12946.00"
"02 Sep 2020","13027.45","13155.15","12885.05","13126.95"
"01 Sep 2020","13132.25","13311.05","12879.70","13045.60"
"31 Aug 2020","13792.95","13901.95","12839.50","13052.25"
"28 Aug 2020","12947.35","13575.60","12922.15","13501.90"
"27 Aug 2020","12878.95","13009.75","12853.45","12936.85"
"26 Aug 2020","12652.80","12844.55","12605.85","12818.50"
"25 Aug 2020","12557.45","12655.70","12491.20","12596.30"
"24 Aug 2020","12262.00","12527.10","12249.40","12484.50"
"21 Aug 2020","12122.55","12210.95","12106.20","12185.80"
"20 Aug 2020","12037.90","12085.00","11973.05","12032.50"
"19 Aug 2020","12217.30","12258.20","12155.90","12192.15"
"18 Aug 2020","11885.2","12172.45","11847.5","12143.55"
"17 Aug 2020","11954.65","11956.05","11709.35","11882.25"
"14 Aug 2020","12176.30","12176.30","11706.50","11831.95"
"13 Aug 2020","12189.05","12217.25","12062.55","12090.45"
"12 Aug 2020","12103.20","12167.10","12016.95","12124.45"
"11 Aug 2020","12059.25","12195.95","12050.40","12169.90"
"10 Aug 2020","11965.10","12082.35","11913.20","11969.90"
"07 Aug 2020","11812.85","11949.65","11718.70","11930.40"
"06 Aug 2020","11824.80","11977.75","11663.25","11827.40"
"05 Aug 2020","11839.90","11973.10","11715.80","11749.25"
"04 Aug 2020","11597.00","11772.00","11469.60","11725.20"
"03 Aug 2020","11802.80","11802.80","11471.70","11493.00"
"31 Jul 2020","11946.25","11969.55","11737.25","11874.75"
"30 Jul 2020","12203.95","12230.25","11864.45","11906.95"
"29 Jul 2020","12161.85","12288.50","12058.45","12147.40"
"28 Jul 2020","12057.55","12228.45","11889.05","12155.70"
"27 Jul 2020","12464.60","12469.30","11978.65","12004.40"
"24 Jul 2020","12512.75","12514.30","12296.10","12457.80"
"23 Jul 2020","12554.20","12669.25","12488.60","12643.05"
"22 Jul 2020","12715.15","12749.75","12439.95","12571.40"
"21 Jul 2020","12422.30","12528.50","12392.10","12489.45"
"20 Jul 2020","12241.00","12352.25","12177.45","12245.25"
"17 Jul 2020","11868.75","12108.15","11836.60","12057.80"
"16 Jul 2020","11785.95","11895.55","11536.90","11855.75"
"15 Jul 2020","11880.65","12054.60","11646.95","11713.00"
"14 Jul 2020","12020.45","12036.90","11645.35","11740.15"
"13 Jul 2020","12423.15","12448.15","12089.20","12143.50"
"10 Jul 2020","12504.90","12544.05","12258.45","12306.55"
"09 Jul 2020","12558.45","12655.60","12495.75","12606.55"
"08 Jul 2020","12550.40","12740.10","12407.50","12460.15"
"07 Jul 2020","12222.30","12530.95","12117.65","12499.00"
"06 Jul 2020","12219.15","12292.45","12157.60","12175.65"
"03 Jul 2020","12127.30","12145.00","11936.80","11987.65"
"02 Jul 2020","12137.30","12252.85","12011.60","12043.50"
"01 Jul 2020","11712.90","12089.15","11670.25","12042.30"
"30 Jun 2020","11821.35","11883.80","11636.20","11721.25"
"29 Jun 2020","11684.60","11764.75","11530.90","11718.70"
"26 Jun 2020","11905.75","11950.65","11697.35","11854.60"
"25 Jun 2020","11629.20","11894.40","11461.00","11782.60"
"24 Jun 2020","12344.95","12346.20","11682.65","11739.45"
"23 Jun 2020","11986.85","12263.90","11880.35","12230.05"
"22 Jun 2020","11777.15","12108.10","11743.15","11902.40"
"19 Jun 2020","11511.30","11767.50","11450.25","11680.25"
"18 Jun 2020","11079.00","11550.60","11014.35","11513.75"
"17 Jun 2020","11065.30","11346.90","10983.90","11114.55"
"16 Jun 2020","11279.00","11358.20","10702.20","11155.00"
"15 Jun 2020","11278.35","11287.85","10860.65","10946.30"
"12 Jun 2020","10730.30","11437.35","10728.45","11383.50"
"11 Jun 2020","11547.80","11654.70","11275.10","11313.25"
"10 Jun 2020","11335.15","11640.70","11294.95","11546.35"
"09 Jun 2020","11613.85","11781.05","11261.90","11312.90"
"08 Jun 2020","11712.05","11826.20","11378.35","11545.60"
"05 Jun 2020","11185.40","11485.90","11113.85","11399.70"
"04 Jun 2020","11469.05","11578.15","11095.45","11128.70"
"03 Jun 2020","11526.90","11866.35","11417.65","11485.10"
"02 Jun 2020","11027.35","11326.25","10880.05","11275.05"
"01 Jun 2020","10822.05","11081.50","10770.45","10925.50"
"29 May 2020","10385.45","10614.15","10253.30","10583.15"
"28 May 2020","10344.60","10658.00","10291.20","10505.40"
"27 May 2020","9606.60","10311.35","9585.40","10220.45"
"26 May 2020","9564.10","9648.75","9439.35","9511.20"
"22 May 2020","9586.65","9798.65","9317.15","9421.55"
"21 May 2020","9800.85","9947.15","9652.80","9697.45"
"20 May 2020","9560.45","9849.70","9520.80","9764.85"
"19 May 2020","9867.40","9947.05","9507.35","9568.85"
"18 May 2020","10293.40","10293.40","9569.95","9603.20"
"15 May 2020","10468.90","10479.90","10229.60","10315.10"
"14 May 2020","10483.05","10599.40","10420.50","10444.75"
"13 May 2020","10944.30","11008.40","10609.50","10718.90"
"12 May 2020","10271.75","10381.55","10006.80","10310.75"
"11 May 2020","10765.40","10838.40","10348.10","10379.25"
"08 May 2020","10897.70","10976.85","10571.95","10613.45"
"07 May 2020","10690.40","10832.25","10587.95","10692.60"
"06 May 2020","10538.65","10851.65","10342.10","10787.10"
"05 May 2020","10964.65","11018.05","10492.85","10526.95"
"04 May 2020","11179.20","11189.00","10675.15","10733.65"
"30 Apr 2020","11739.85","11981.60","11639.00","11743.45"
"29 Apr 2020","11091.75","11601.90","11064.95","11455.70"
"28 Apr 2020","11091.90","11298.55","10979.25","11243.55"
"27 Apr 2020","10691.10","10910.60","10679.65","10857.55"
"24 Apr 2020","10588.90","10740.40","10505.50","10542.60"
"23 Apr 2020","10689.75","10964.20","10533.65","10915.55"
"22 Apr 2020","10368.05","10641.10","10233.65","10580.65"
"21 Apr 2020","10673.75","10723.00","10349.95","10430.70"
"20 Apr 2020","11458.25","11467.85","11039.25","11082.90"
"17 Apr 2020","11009.80","11317.70","10672.40","11212.10"
"16 Apr 2020","10220.70","10508.55","10069.10","10442.65"
"15 Apr 2020","10845.95","10894.60","10130.95","10278.95"
"13 Apr 2020","10658.80","10693.00","10354.85","10500.90"
"09 Apr 2020","10503.60","10732.60","10276.00","10695.00"
"08 Apr 2020","10042.45","10909.45","9857.65","10158.40"
"07 Apr 2020","9823.80","10234.75","9569.80","10169.40"
"03 Apr 2020","9753.15","9753.15","9094.95","9157.10"
"01 Apr 2020","10206.10","10225.85","9590.25","9685.10"
"31 Mar 2020","10358.65","10371.80","10021.25","10173.70"
"30 Mar 2020","10317.85","10599.85","10007.15","10089.40"
"27 Mar 2020","11241.15","11586.75","10505.10","10738.15"
"26 Mar 2020","9959.10","10990.00","9779.60","10556.20"
"25 Mar 2020","8852.30","9906.70","8794.90","9775.85"
"24 Mar 2020","9400.05","9478.50","8487.25","9050.50"
"23 Mar 2020","9859.85","10104.35","8906.05","8974.30"
"20 Mar 2020","10676.90","11234.25","10300.05","10927.90"
"19 Mar 2020","10430.35","11248.10","9994.65","10789.75"
"18 Mar 2020","12193.65","12263.00","10895.80","11069.65"
"17 Mar 2020","12691.95","12817.65","11981.75","12053.05"
"16 Mar 2020","13147.95","13164.10","12504.60","12557.10"
"13 Mar 2020","12491.65","14009.80","11757.60","13740.55"
"12 Mar 2020","13804.80","13861.50","12996.75","13232.30"
"11 Mar 2020","14365.00","14684.60","14343.65","14548.00"
"09 Mar 2020","14836.80","14870.95","14212.45","14480.40"
"06 Mar 2020","15232.40","15388.45","14970.85","15259.50"
"05 Mar 2020","15838.80","16042.50","15681.30","15853.45"
"04 Mar 2020","16093.40","16103.80","15495.40","15761.60"
"03 Mar 2020","15930.45","16101.10","15811.30","16054.95"
"02 Mar 2020","16238.90","16300.00","15698.70","15861.55"
"28 Feb 2020","16119.15","16146.90","15906.25","15953.60"
"27 Feb 2020","16485.35","16492.80","16292.70","16470.70"
"26 Feb 2020","16507.15","16618.25","16413.85","16495.20"
"25 Feb 2020","16662.15","16699.10","16537.75","16589.30"
"24 Feb 2020","16741.80","16756.35","16615.45","16631.35"
"20 Feb 2020","16863.05","16992.70","16778.35","16895.00"
"19 Feb 2020","16867.00","16890.35","16706.50","16838.70"
"18 Feb 2020","16790.40","16807.85","16538.05","16689.40"
"17 Feb 2020","16885.60","16976.20","16768.70","16808.85"
"14 Feb 2020","17114.05","17185.35","16815.00","16871.45"
"13 Feb 2020","17365.40","17365.40","17049.90","17083.00"
"12 Feb 2020","17231.60","17347.40","17204.90","17318.95"
"11 Feb 2020","17173.15","17318.70","17167.45","17201.75"
"10 Feb 2020","17220.75","17220.85","17041.25","17081.25"
"07 Feb 2020","17299.60","17302.30","17114.45","17181.50"
"06 Feb 2020","17134.90","17342.50","17046.40","17250.50"
"05 Feb 2020","16977.00","17119.10","16909.35","17086.35"
"04 Feb 2020","16706.95","16975.85","16688.75","16932.25"
"03 Feb 2020","16419.80","16653.40","16326.90","16605.15"
"01 Feb 2020","16876.60","16986.90","16380.45","16419.70"
"31 Jan 2020","17039.65","17065.60","16901.70","16936.35"
"30 Jan 2020","17004.55","17017.80","16804.20","16869.80"
"29 Jan 2020","17047.55","17124.90","16988.65","17006.85"
"28 Jan 2020","17048.45","17121.10","16914.65","16966.10"
"27 Jan 2020","17145.10","17229.80","16994.35","17009.60"
"24 Jan 2020","17096.65","17284.15","17013.75","17202.20"
"23 Jan 2020","16958.45","17138.45","16900.80","17075.85"
"22 Jan 2020","17150.65","17205.20","16897.65","16931.90"
"21 Jan 2020","17104.20","17222.40","17036.20","17099.60"
"20 Jan 2020","17620.80","17620.80","17143.85","17161.20"
"17 Jan 2020","17461.15","17524.65","17367.95","17444.35"
"16 Jan 2020","17574.80","17664.00","17505.15","17584.80"
"15 Jan 2020","17667.75","17670.45","17493.85","17572.30"
"14 Jan 2020","17827.75","17851.60","17707.30","17727.25"
"13 Jan 2020","17749.15","17852.55","17711.90","17811.05"
"10 Jan 2020","17825.70","17860.70","17659.65","17729.25"
"09 Jan 2020","17566.85","17818.05","17521.60","17760.50"
"08 Jan 2020","17180.05","17413.15","17132.60","17371.35"
"07 Jan 2020","17481.80","17637.20","17277.20","17384.50"
"06 Jan 2020","17645.35","17649.60","17268.65","17298.90"
"03 Jan 2020","17851.55","17858.40","17669.35","17731.25"
"02 Jan 2020","17734.15","17925.80","17726.85","17913.65"
"01 Jan 2020","17809.10","17875.45","17694.10","17711.65"
"31 Dec 2019","17877.70","17878.95","17736.50","17767.60"
"30 Dec 2019","17927.25","18030.20","17832.70","17884.50"
"27 Dec 2019","17758.45","17902.95","17698.95","17888.40"
"26 Dec 2019","17825.95","17851.55","17669.40","17689.20"
"24 Dec 2019","17837.60","17889.55","17817.90","17840.70"
"23 Dec 2019","17841.90","17905.30","17761.90","17840.60"
"20 Dec 2019","17825.35","17885.50","17778.15","17833.95"
"19 Dec 2019","17844.35","17870.20","17731.45","17824.15"
"18 Dec 2019","17811.90","17863.05","17694.35","17836.85"
"17 Dec 2019","17708.65","17763.25","17653.25","17732.05"
"16 Dec 2019","17746.60","17762.25","17609.10","17646.15"
"13 Dec 2019","17545.50","17721.30","17542.70","17668.15"
"12 Dec 2019","17357.80","17522.45","17348.50","17497.90"
